Time,ThumbX,ThumbY,ThumbZ,ThumbForce,IndexX,IndexY,IndexZ,IndexForce,MiddleX,MiddleY,MiddleZ,MiddleForce,CenterX,CenterY,CenterZ,cube0X,cube0Y,cube0Z,cube1X,cube1Y,cube1Z,cube2X,cube2Y,cube2Z
10:13:04.9892,-0.2206277,0.9914503,-0.1800464,0.0227944,-0.3007646,0.9422123,-0.1587589,0.02279397,-0.327731,0.9331284,-0.1467493,0.03874902,-0.2782838,1.014341,-0.07419121,0.000559628,0.9190998,-0.3568548,0.2159252,0.9190998,-0.2515463,0.05681351,0.9219997,-0.2014022
10:13:04.9908,-0.2206351,0.9917727,-0.179847,0.0227944,-0.3007721,0.9425344,-0.1585597,0.02279397,-0.3277385,0.9334507,-0.1465501,0.03874902,-0.2782913,1.014663,-0.07399178,-0.003344297,0.9349937,-0.3569453,0.2105347,0.9432392,-0.2644823,0.05969354,0.937808,-0.1989437
10:13:04.9918,-0.2206591,0.991838,-0.1798077,0.0227944,-0.300796,0.9425998,-0.1585201,0.02279397,-0.3277625,0.933516,-0.1465107,0.03874902,-0.2783152,1.014729,-0.07395244,-0.002842888,0.9394414,-0.3577479,0.2099824,0.954164,-0.2711511,0.05866246,0.9490924,-0.2024831
10:13:05.0167,-0.2206649,0.9912271,-0.1795329,0.0273678,-0.3007714,0.9415169,-0.1582917,0.0273674,-0.3284229,0.9323149,-0.1467659,0.046524,-0.278076,1.014287,-0.07355893,-0.002485901,0.9495907,-0.3554964,0.2112888,0.9579866,-0.2748458,0.05796626,0.9548616,-0.2021645
10:13:05.0184,-0.2207043,0.9919751,-0.1789742,0.0273678,-0.3008107,0.9422646,-0.1577331,0.0273674,-0.3284623,0.9330626,-0.1462073,0.046524,-0.2781153,1.015035,-0.07300043,-0.002138659,0.9515481,-0.3542931,0.2115041,0.9582782,-0.2773333,0.05727005,0.9594197,-0.2018459
10:13:05.0194,-0.220778,0.9921067,-0.1788372,0.0273678,-0.3008844,0.9423962,-0.1575959,0.0273674,-0.3285359,0.9331942,-0.1460704,0.046524,-0.278189,1.015167,-0.07286334,-0.002016082,0.9515557,-0.3536234,0.2117191,0.9575884,-0.2798204,0.05657391,0.9629967,-0.2015275
10:13:05.0442,-0.2204525,0.9910228,-0.1782156,0.0421174,-0.3009203,0.9407401,-0.1575967,0.04211808,-0.3288351,0.9314742,-0.1459529,0.07160071,-0.2778745,1.014574,-0.07233453,-0.00200671,0.951437,-0.3532811,0.2119344,0.9559176,-0.2823075,0.05587761,0.9655933,-0.2012088
10:13:05.0452,-0.220827,0.9911203,-0.176939,0.0421174,-0.3012948,0.9408379,-0.1563201,0.04211808,-0.3292097,0.931572,-0.1446762,0.07160071,-0.278249,1.014672,-0.07105792,-0.002027154,0.9514151,-0.3532118,0.212611,0.9540637,-0.2843939,0.05518155,0.9672084,-0.2008905
10:13:05.0467,-0.2212,0.99019,-0.1760825,0.0421174,-0.3016678,0.9399076,-0.1554637,0.04211808,-0.3295826,0.9306417,-0.1438197,0.07160071,-0.278622,1.013742,-0.0702014,-0.002033129,0.951407,-0.353251,0.2135181,0.9534402,-0.2852166,0.0548746,0.9683371,-0.2011324
10:13:05.0719,-0.221164,0.9875538,-0.1748061,0.07098714,-0.3010505,0.9359701,-0.1537913,0.07098777,-0.3289882,0.926496,-0.1419702,0.07098769,-0.2784025,1.011193,-0.06886637,-0.002027154,0.9514015,-0.3532851,0.2139795,0.9532812,-0.2850887,0.05457148,0.9684999,-0.2013928
10:13:05.0729,-0.2213322,0.9886498,-0.1758507,0.07098714,-0.3012188,0.9370663,-0.1548361,0.07098777,-0.3291564,0.927592,-0.1430149,0.07098769,-0.2785707,1.012289,-0.06991112,-0.002022296,0.9513993,-0.353294,0.2139923,0.9528153,-0.2845278,0.05436248,0.967757,-0.2017179
10:13:05.0745,-0.221342,0.9888692,-0.1758902,0.07098714,-0.3012286,0.9372854,-0.1548755,0.07098777,-0.3291661,0.9278114,-0.1430545,0.07098769,-0.2785805,1.012508,-0.0699507,-0.002021611,0.9513993,-0.3532917,0.2138885,0.9519043,-0.2836052,0.05376454,0.9670136,-0.2018059
10:13:05.0993,-0.2223457,0.9875596,-0.1753972,0.09163837,-0.3027198,0.9358349,-0.1542491,0.09163878,-0.3309232,0.9265587,-0.1421113,0.09163878,-0.2786354,1.012182,-0.06917357,-0.002022639,0.9513993,-0.3532891,0.2137689,0.9515593,-0.2829974,0.05269326,0.9662099,-0.2016231
10:13:05.1003,-0.2225301,0.9886856,-0.1763207,0.09163837,-0.3029041,0.9369609,-0.1551725,0.09163878,-0.3311075,0.9276845,-0.1430348,0.09163878,-0.2788198,1.013308,-0.07009721,-0.002023384,0.9513998,-0.3532884,0.2137394,0.9516544,-0.282734,0.05130177,0.9651141,-0.2012268
10:13:05.1014,-0.2225425,0.9889107,-0.1763546,0.09163837,-0.3029165,0.937186,-0.1552064,0.09163878,-0.33112,0.9279099,-0.1430687,0.09163878,-0.2788322,1.013533,-0.07013106,-0.002023488,0.9513998,-0.3532887,0.2137476,0.9516702,-0.2827102,0.04962239,0.9636304,-0.2006525
10:13:05.1260,-0.2238429,0.9875975,-0.1758791,0.1142879,-0.3039824,0.9360929,-0.1533487,0.1142885,-0.3320571,0.926944,-0.1408218,0.1142868,-0.2790411,1.013354,-0.06935191,-0.002023458,0.9513998,-0.3532887,0.2137977,0.9515729,-0.2828698,0.04761722,0.9617467,-0.1998899
10:13:05.1275,-0.2243107,0.9885545,-0.1778553,0.1142879,-0.3044502,0.9370501,-0.1553249,0.1142885,-0.3325249,0.9279013,-0.1427981,0.1142868,-0.2795089,1.014311,-0.07132804,-0.002023399,0.9513998,-0.3532888,0.2138464,0.9515197,-0.28303,0.04535331,0.959398,-0.1989698
10:13:05.1394,-0.2247633,0.9875555,-0.1776774,0.1294055,-0.3052857,0.9362655,-0.1550535,0.1294059,-0.3341481,0.9272928,-0.1429721,0.1294063,-0.2796059,1.014269,-0.07118118,-0.002023384,0.9513998,-0.3532888,0.2138887,0.9515345,-0.2831081,0.04285347,0.9564979,-0.1979065
10:13:05.1669,-0.2246744,0.987999,-0.1775595,0.1385863,-0.3054973,0.9371648,-0.1551139,0.2355977,-0.3343886,0.9282608,-0.1430507,0.1385862,-0.2796992,1.015131,-0.07124281,0.2421834,0.9190998,-0.2790792,-0.2019621,0.9190998,-0.2527392,-0.03004594,0.9219995,-0.2404757
10:13:05.1695,-0.2248616,0.9880648,-0.1776494,0.1385863,-0.3056844,0.9372306,-0.1552036,0.2355977,-0.3345758,0.9283266,-0.1431403,0.1385862,-0.2798863,1.015196,-0.07133245,0.2399554,0.9261961,-0.2815782,-0.1747139,0.9222817,-0.2500558,-0.02606308,0.9290268,-0.2526405
10:13:05.1710,-0.2250112,0.9880779,-0.177632,0.1385863,-0.3058341,0.9372439,-0.1551863,0.2355977,-0.3347254,0.92834,-0.1431231,0.1385862,-0.2800359,1.01521,-0.07131529,0.2418808,0.942697,-0.2841003,-0.1725681,0.9489625,-0.2505109,-0.02368402,0.9464052,-0.2537297
10:13:05.2116,-0.2246624,0.9875784,-0.1773148,0.15175,-0.3060922,0.936337,-0.155877,0.1517491,-0.3352977,0.9274302,-0.1437756,0.1517484,-0.2798368,1.014854,-0.07109308,0.2420998,0.9505272,-0.2877265,-0.1704051,0.9552085,-0.2482238,-0.0233544,0.950398,-0.2541952
10:13:05.2126,-0.2253949,0.9882023,-0.1769651,0.15175,-0.3068247,0.9369609,-0.1555272,0.1517491,-0.3360302,0.9280541,-0.1434259,0.1517484,-0.2805694,1.015478,-0.07074308,0.2424819,0.9522552,-0.2888316,-0.1695966,0.9548354,-0.2464427,-0.02331266,0.9514346,-0.2544676
10:13:05.2136,-0.2257721,0.988327,-0.1768193,0.15175,-0.3072019,0.9370854,-0.1553817,0.1517491,-0.3364073,0.9281788,-0.1432804,0.1517484,-0.2809465,1.015602,-0.07059753,0.2426831,0.9523091,-0.2897439,-0.1690777,0.9546773,-0.245558,-0.02330206,0.9517426,-0.2545837
10:13:05.2151,-0.2260043,0.9883521,-0.1767479,0.15175,-0.3074339,0.9371107,-0.1553102,0.1517491,-0.3366395,0.9282036,-0.1432087,0.1517484,-0.2811787,1.015627,-0.07052624,0.2428958,0.9516163,-0.290609,-0.1688142,0.954689,-0.2454491,-0.0233787,0.9515624,-0.2544193
10:13:05.2527,-0.2267054,0.989171,-0.1772096,0.148978,-0.3074467,0.937017,-0.1552435,0.1489775,-0.3371806,0.927948,-0.143609,0.1489782,-0.2811642,1.015447,-0.07038784,0.2428958,0.951488,-0.2909346,-0.1687383,0.9546971,-0.245612,-0.02341768,0.9514322,-0.2542378
10:13:05.2543,-0.2273795,0.9892488,-0.1768937,0.148978,-0.3081208,0.9370944,-0.1549277,0.1489775,-0.3378549,0.9280255,-0.1432931,0.1489782,-0.2818384,1.015525,-0.07007194,0.2428636,0.9514427,-0.2909282,-0.168817,0.9546597,-0.2457243,-0.02341723,0.9514141,-0.2541775
10:13:05.2553,-0.2278043,0.9892638,-0.1767453,0.148978,-0.3085456,0.9371099,-0.1547792,0.1489775,-0.3382796,0.928041,-0.1431447,0.1489782,-0.2822632,1.01554,-0.06992364,0.2428609,0.9514143,-0.2908367,-0.1690701,0.9545822,-0.2457522,-0.02341394,0.9514062,-0.2541808
10:13:05.2563,-0.2281023,0.9892669,-0.1766987,0.148978,-0.3088437,0.937113,-0.1547325,0.1489775,-0.3385777,0.9280438,-0.143098,0.1489782,-0.2825612,1.015543,-0.06987679,0.2428705,0.9513996,-0.2907931,-0.1692936,0.9545197,-0.2457392,-0.02341425,0.9514017,-0.2541946
10:13:05.2801,-0.2284438,0.9913616,-0.1778681,0.1416809,-0.308985,0.9386795,-0.1565667,0.1416789,-0.3386142,0.9292526,-0.1449491,0.1416792,-0.282668,1.015715,-0.07045364,0.2428759,0.9513969,-0.2907902,-0.1693726,0.9545088,-0.2457232,-0.02341564,0.9513998,-0.2541997
10:13:05.2822,-0.2298777,0.9904504,-0.1762815,0.1416809,-0.3104189,0.9377682,-0.1549799,0.1416789,-0.3400481,0.9283414,-0.1433624,0.1416792,-0.2841019,1.014804,-0.06886709,0.2428758,0.9513981,-0.2907977,-0.1693681,0.9545038,-0.2457147,-0.02341601,0.9513996,-0.2541997
10:13:05.2832,-0.2305593,0.9898689,-0.1760918,0.1416809,-0.3111006,0.9371867,-0.1547904,0.1416789,-0.3407299,0.9277599,-0.1431726,0.1416792,-0.2847837,1.014222,-0.06867719,0.2428742,0.9513996,-0.2908015,-0.1693479,0.9545004,-0.2457205,-0.02341583,0.9513998,-0.254199
10:13:05.2843,-0.2310101,0.989753,-0.1760861,0.1416809,-0.3115514,0.9370706,-0.1547847,0.1416789,-0.3411806,0.927644,-0.1431669,0.1416792,-0.2852343,1.014106,-0.06867158,0.2428735,0.9513998,-0.290802,-0.169338,0.9545,-0.2457266,-0.02341567,0.9513998,-0.2541984
10:13:05.3068,-0.230298,0.9948626,-0.1784928,0.1181755,-0.3109641,0.9413385,-0.1599393,0.1181739,-0.3406757,0.9314435,-0.1489383,0.1181752,-0.2853729,1.014886,-0.07061756,0.2428735,0.9513998,-0.2908019,-0.1693368,0.9545,-0.2457287,-0.02341555,0.9513996,-0.2541987
10:13:05.3083,-0.2312645,0.9975264,-0.1802357,0.1181755,-0.3119306,0.9440026,-0.1616822,0.1181739,-0.3416423,0.9341073,-0.1506814,0.1181752,-0.2863393,1.01755,-0.07236052,0.2428737,0.9513998,-0.2908015,-0.1693381,0.9545002,-0.245728,-0.02341557,0.9513996,-0.2541986
10:13:05.3336,-0.2316885,1.001748,-0.1837548,0.07132426,-0.314393,0.9486539,-0.1693386,0.07132599,-0.3448507,0.9389772,-0.1588612,0.121254,-0.2872873,1.018805,-0.07562077,0.3578196,0.9190998,-0.3628411,-0.1179706,0.9190998,-0.3711081,0.1523715,0.9219997,-0.3741767
10:13:05.3362,-0.2320774,1.004132,-0.1838955,0.07132426,-0.3147817,0.9510379,-0.1694794,0.07132599,-0.3452396,0.9413612,-0.1590018,0.121254,-0.2876762,1.021189,-0.07576132,0.3660446,0.9304547,-0.361855,-0.1180054,0.9449654,-0.3710499,0.1599729,0.9261322,-0.3758485
10:13:05.3377,-0.2323495,1.005801,-0.1839941,0.07132426,-0.3150539,0.9527068,-0.1695777,0.07132599,-0.3455117,0.9430304,-0.1591004,0.121254,-0.2879483,1.022859,-0.07585979,0.3704854,0.9361572,-0.3612564,-0.1178641,0.95011,-0.370838,0.1673025,0.9333868,-0.3759072
10:13:05.3619,-0.2323494,1.014286,-0.1870143,0.02292603,-0.3165749,0.9620798,-0.1770033,0.0229263,-0.3474992,0.952502,-0.1673661,0.02292615,-0.2886403,1.026072,-0.07853591,0.3756849,0.9501238,-0.362703,-0.1178163,0.9511371,-0.3707587,0.1764879,0.9453688,-0.372933
10:13:05.3630,-0.2322624,1.018692,-0.1852868,0.02292603,-0.3164879,0.9664867,-0.1752756,0.0229263,-0.3474122,0.9569085,-0.1656387,0.02292615,-0.2885534,1.030479,-0.07680809,0.3776527,0.9521208,-0.3638409,-0.1178173,0.9513457,-0.3707222,0.1833369,0.9552052,-0.3757412
10:13:05.3646,-0.2322022,1.021777,-0.1840776,0.02292603,-0.3164277,0.9695706,-0.1740668,0.0229263,-0.3473519,0.9599926,-0.1644297,0.02292615,-0.2884931,1.033563,-0.07559931,0.3792908,0.9520926,-0.3644881,-0.1178295,0.9513886,-0.3707221,0.1851806,0.9638476,-0.3783927
10:13:05.3867,-0.231823,1.031011,-0.1855942,0.01607048,-0.317427,0.9798789,-0.179737,0.01606989,-0.3488305,0.9705482,-0.1709316,0.01607221,-0.2889,1.037837,-0.07711899,0.3801298,0.9518526,-0.3648126,-0.1178344,0.9513977,-0.3707269,0.186202,0.9668422,-0.3789549
10:13:05.3887,-0.2314943,1.036087,-0.1832052,0.01607048,-0.3170983,0.9849546,-0.177348,0.01606989,-0.3485017,0.9756238,-0.1685426,0.01607221,-0.2885712,1.042912,-0.07472992,0.3802406,0.9518218,-0.3648058,-0.1178349,0.9513993,-0.3707284,0.1871793,0.9689136,-0.3794314
10:13:05.3996,-0.2309473,1.046191,-0.1833937,0.03369568,-0.3176072,0.9965906,-0.1808062,0.0336957,-0.3492189,0.9874434,-0.1726836,0.0336957,-0.2888204,1.048671,-0.07515407,0.3799758,0.9515877,-0.3647603,-0.1178347,0.9513998,-0.3707284,0.1881567,0.9700043,-0.379908
10:13:05.4279,-0.230581,1.056515,-0.1814668,0.04705927,-0.3175138,1.007842,-0.1800375,0.04705818,-0.3497097,0.9992092,-0.1728754,0.04740024,-0.2886887,1.056389,-0.07334375,0.3797333,0.9514389,-0.3647299,-0.1178347,0.9513998,-0.3707283,0.1891091,0.9701157,-0.3803912
10:13:05.4289,-0.2295011,1.063126,-0.1780703,0.04705927,-0.3164341,1.014453,-0.1766409,0.04705818,-0.3486299,1.00582,-0.169479,0.04740024,-0.2876089,1.062999,-0.06994724,0.3796606,0.9514122,-0.3647393,-0.1178347,0.9513998,-0.3707283,0.1899048,0.9693542,-0.3809296
10:13:05.4300,-0.2287454,1.067753,-0.1756923,0.04705927,-0.3156782,1.01908,-0.1742629,0.04705818,-0.3478741,1.010447,-0.1671009,0.04740024,-0.2868531,1.067627,-0.06756938,0.3796742,0.9514065,-0.3647335,-0.1178347,0.9513998,-0.3707283,0.1906103,0.9687212,-0.381017
10:13:05.4423,-0.2278042,1.077954,-0.1754123,0.08083803,-0.3157272,1.031103,-0.1771445,0.08083834,-0.3480144,1.022688,-0.1705397,0.08147588,-0.286744,1.073336,-0.0678395,0.3796988,0.9514008,-0.3647362,-0.1178347,0.9513998,-0.3707283,0.1914166,0.9681075,-0.380589
10:13:05.4433,-0.2267438,1.084039,-0.1723619,0.08083803,-0.3146667,1.037188,-0.174094,0.08083834,-0.346954,1.028773,-0.1674893,0.08147588,-0.2856835,1.079421,-0.06478906,0.37971,0.9513998,-0.3647407,-0.1178347,0.9513998,-0.3707283,0.1923372,0.9673171,-0.3797319
10:13:05.4692,-0.22539,1.092217,-0.1707872,0.05209414,-0.312926,1.045785,-0.1732323,0.05209398,-0.3460121,1.037945,-0.1680938,0.05415979,-0.2850368,1.085049,-0.06374538,0.3797108,0.9513998,-0.3647419,-0.1178347,0.9513998,-0.3707283,0.1933455,0.9662097,-0.3785245
10:13:05.4713,-0.2239707,1.097236,-0.1679049,0.05209414,-0.3115068,1.050804,-0.1703497,0.05209398,-0.3445929,1.042964,-0.1652113,0.05415979,-0.2836176,1.090068,-0.06086278,0.3797089,0.9513996,-0.3647412,-0.1178347,0.9513998,-0.3707283,0.1946684,0.9652109,-0.3773806
10:13:05.4976,-0.2219633,1.107322,-0.1665437,0.06972364,-0.3094887,1.062075,-0.1709216,0.06972443,-0.3433445,1.055103,-0.167433,0.07293952,-0.2828375,1.096059,-0.06057072,0.3797075,0.9513998,-0.3647401,-0.1178347,0.9513998,-0.3707283,0.1964049,0.9645913,-0.3765483
10:13:05.4987,-0.2199575,1.113293,-0.1627995,0.06972364,-0.307483,1.068046,-0.1671774,0.06972443,-0.3413388,1.061074,-0.163689,0.07293952,-0.2808317,1.10203,-0.05682635,0.3797073,0.9513996,-0.3647398,-0.1178347,0.9513998,-0.3707283,0.1984262,0.9637728,-0.3760643
10:13:05.5002,-0.2185537,1.117473,-0.160179,0.06972364,-0.3060793,1.072225,-0.1645571,0.06972443,-0.3399351,1.065253,-0.1610684,0.07293952,-0.2794279,1.10621,-0.05420601,0.3797074,0.9513998,-0.36474,-0.1178347,0.9513998,-0.3707283,0.2007095,0.9626465,-0.3758562
10:13:05.5255,-0.2150905,1.12609,-0.1584023,0.05399862,-0.302945,1.08246,-0.1657962,0.05399995,-0.3369447,1.075935,-0.1634179,0.06315105,-0.2782172,1.111441,-0.05417562,0.3797075,0.9513998,-0.36474,-0.1178347,0.9513998,-0.3707283,0.2032076,0.9612207,-0.3756385
10:13:05.5265,-0.2131783,1.13129,-0.1548238,0.05399862,-0.3010328,1.08766,-0.1622177,0.05399995,-0.3350325,1.081134,-0.1598392,0.06315105,-0.276305,1.116641,-0.05059707,0.3797075,0.9513998,-0.36474,-0.1178347,0.9513998,-0.3707283,0.2059508,0.9595847,-0.3752539
10:13:05.5280,-0.2118399,1.13493,-0.1523201,0.05399862,-0.2996945,1.0913,-0.1597141,0.05399995,-0.3336942,1.084774,-0.1573358,0.06315105,-0.2749667,1.120281,-0.04809356,0.3797075,0.9513998,-0.36474,-0.1178347,0.9513998,-0.3707283,0.2089062,0.9575701,-0.3747218
