Time,ThumbX,ThumbY,ThumbZ,ThumbForce,IndexX,IndexY,IndexZ,IndexForce,MiddleX,MiddleY,MiddleZ,MiddleForce,CenterX,CenterY,CenterZ,cube0X,cube0Y,cube0Z,cube1X,cube1Y,cube1Z,cube2X,cube2Y,cube2Z
10:55:28.2896,-0.2311782,0.9729338,-0.1694725,0.06045606,-0.3278792,0.9346955,-0.174773,0.0604548,-0.3581231,0.9315615,-0.1605153,0.1027746,-0.295432,1.008523,-0.07206523,-0.2028632,0.9190998,-0.2518729,0.2319011,0.9190996,-0.3547318,-0.1387716,0.9219995,-0.3473461
10:55:28.2917,-0.2312696,0.9729915,-0.1701032,0.06045606,-0.3279706,0.9347529,-0.1754037,0.0604548,-0.3582145,0.9316189,-0.1611462,0.1027746,-0.2955235,1.00858,-0.07269597,-0.1767793,0.9256296,-0.2501622,0.2287814,0.925071,-0.3589143,-0.1428956,0.9338026,-0.3468146
10:55:28.3180,-0.2369682,0.949054,-0.1691527,0.0176289,-0.3297607,0.9148765,-0.1680578,0.07632888,-0.3559048,0.9131346,-0.1479108,0.05553491,-0.2954853,1.007065,-0.0708909,-0.1747924,0.9317992,-0.2392565,0.228076,0.933526,-0.3612123,-0.142747,0.9491458,-0.3439903
10:55:28.3206,-0.237008,0.9538145,-0.1694043,0.0176289,-0.3298006,0.9196372,-0.1683093,0.07632888,-0.3559447,0.9178953,-0.1481624,0.05553491,-0.2955251,1.011826,-0.07114244,-0.1656113,0.9435525,-0.2281436,0.2296737,0.9480877,-0.361513,-0.1426259,0.9527361,-0.3432441
10:55:28.3221,-0.2370744,0.9547663,-0.1698153,0.0176289,-0.3298669,0.9205892,-0.1687205,0.07632888,-0.356011,0.9188471,-0.1485736,0.05553491,-0.2955914,1.012778,-0.07155359,-0.1545214,0.9516909,-0.2222222,0.2301915,0.9508111,-0.3612669,-0.1423123,0.9541535,-0.3430538
10:55:28.3237,-0.2371284,0.9549575,-0.1701506,0.0176289,-0.3299209,0.9207802,-0.1690561,0.07632888,-0.356065,0.9190381,-0.148909,0.05553491,-0.2956455,1.012969,-0.07188904,-0.1491503,0.9555383,-0.2169564,0.230512,0.9519866,-0.360836,-0.1419543,0.9546027,-0.3428879
10:55:28.3462,-0.2361901,0.9507675,-0.1666594,0.03893795,-0.3282839,0.9147558,-0.1634082,0.1033771,-0.3587329,0.9144225,-0.1497248,0.1519114,-0.2951609,1.011516,-0.07037365,-0.1457718,0.959126,-0.2126755,0.2308076,0.9523082,-0.3605064,-0.1418228,0.9544237,-0.3425575
10:55:28.3478,-0.2361898,0.9560194,-0.1666721,0.03893795,-0.3282835,0.9200077,-0.163421,0.1033771,-0.3587326,0.9196746,-0.1497377,0.1519114,-0.2951606,1.016768,-0.07038653,-0.1436164,0.9586658,-0.2095339,0.2309653,0.9522686,-0.3605239,-0.1419751,0.9537458,-0.341967
10:55:28.3493,-0.2361932,0.9570704,-0.1667486,0.03893795,-0.3282869,0.9210587,-0.1634977,0.1033771,-0.3587359,0.9207256,-0.1498141,0.1519114,-0.2951641,1.017818,-0.07046294,-0.141151,0.9563708,-0.2067424,0.2308924,0.9518781,-0.3609022,-0.1424603,0.952564,-0.3411288
10:55:28.3734,-0.2354015,0.9524407,-0.1622945,0.1101753,-0.3287901,0.9161825,-0.1610086,0.2369607,-0.357686,0.9158831,-0.143764,0.2506143,-0.2949004,1.016925,-0.06884015,-0.1395445,0.9547668,-0.2045825,0.2308304,0.9514961,-0.361306,-0.1430051,0.9516435,-0.3404132
