Time,ThumbX,ThumbY,ThumbZ,ThumbForce,IndexX,IndexY,IndexZ,IndexForce,MiddleX,MiddleY,MiddleZ,MiddleForce,CenterX,CenterY,CenterZ,cube0X,cube0Y,cube0Z,cube1X,cube1Y,cube1Z,cube2X,cube2Y,cube2Z
14:21:46.4165,-0.2145236,0.9684796,-0.1484791,0.04423373,-0.3100598,0.9407489,-0.1766117,0.0442335,-0.3374979,0.9306366,-0.1613873,0.07519511,-0.2973484,1.002405,-0.0644716,-0.003468186,0.9190998,-0.379557,-0.08209486,0.9190998,-0.2089351,0.1419504,0.9219995,-0.364769
14:21:46.4191,-0.2149067,0.9713817,-0.1488537,0.04423373,-0.3104428,0.9436512,-0.1769862,0.0442335,-0.3378809,0.9335389,-0.1617618,0.07519511,-0.2977314,1.005307,-0.06484616,-0.00444071,0.9369442,-0.3872365,-0.08089112,0.9354002,-0.2095413,0.1522235,0.9318919,-0.3752158
14:21:46.4428,-0.2151325,0.9696083,-0.1477754,0.04694453,-0.310905,0.9397545,-0.1755468,0.04694339,-0.3383823,0.9294629,-0.1599185,0.07980388,-0.2978087,1.004334,-0.06394875,-0.003477305,0.952878,-0.3906986,-0.07910167,0.9386885,-0.2064571,0.1628201,0.9434314,-0.3850502
14:21:46.4449,-0.2154099,0.9734464,-0.1480531,0.04694453,-0.3111825,0.9435925,-0.1758243,0.04694339,-0.3386598,0.933301,-0.1601958,0.07980388,-0.2980862,1.008172,-0.06422639,-0.001932263,0.9563675,-0.391494,-0.07676883,0.9485786,-0.2065893,0.1701262,0.9491642,-0.3937641
14:21:46.4470,-0.2158753,0.9742136,-0.1485195,0.04694453,-0.3116477,0.9443598,-0.1762909,0.04694339,-0.3391251,0.9340682,-0.1606627,0.07980388,-0.2985515,1.008939,-0.06469285,-0.00127545,0.9572513,-0.3915659,-0.07543355,0.9519374,-0.2068878,0.1726488,0.9523757,-0.4014856
14:21:46.4490,-0.216255,0.9743676,-0.1488996,0.04694453,-0.3120275,0.9445138,-0.1766711,0.04694339,-0.3395048,0.934222,-0.1610426,0.07980388,-0.2989313,1.009093,-0.06507301,-0.0007943064,0.9575052,-0.3917818,-0.07474121,0.9529362,-0.2072754,0.1742252,0.9538679,-0.4085743
14:21:46.4713,-0.2181214,0.9715209,-0.1481115,0.07604811,-0.3146495,0.9425116,-0.1753306,0.07604705,-0.3416482,0.9322512,-0.1584599,0.1292834,-0.2996851,1.008643,-0.06430376,-0.000613302,0.9572902,-0.3922547,-0.07407373,0.9529715,-0.2076763,0.1765333,0.9547441,-0.4134732
14:21:46.4723,-0.2183032,0.9731467,-0.1483102,0.07604811,-0.3148312,0.9441371,-0.1755294,0.07604705,-0.3418299,0.933877,-0.1586587,0.1292834,-0.299867,1.010269,-0.06450224,-0.0007544458,0.9566252,-0.3929657,-0.07348031,0.9525664,-0.2077709,0.1791094,0.9573848,-0.419325
14:21:46.4971,-0.2215645,0.9702091,-0.1476916,0.132575,-0.3193097,0.9433434,-0.1740973,0.1325748,-0.3469745,0.934123,-0.1575716,0.2253499,-0.3012787,1.010742,-0.06371427,-0.001052827,0.9555826,-0.3940033,-0.07323264,0.9520621,-0.2073679,0.1816608,0.9580011,-0.4226599
14:21:46.4986,-0.2218587,0.9703255,-0.1480224,0.132575,-0.3196038,0.9434597,-0.1744282,0.1325748,-0.3472687,0.9342394,-0.1579026,0.2253499,-0.301573,1.010859,-0.06404519,-0.001278058,0.9543681,-0.3954458,-0.07332501,0.9515381,-0.2068011,0.1837554,0.9563923,-0.425782
14:21:46.5250,-0.2245407,0.9664574,-0.1465465,0.1715323,-0.3238635,0.9426708,-0.1743001,0.1715324,-0.3507942,0.9335504,-0.1553131,0.2916029,-0.302807,1.011016,-0.06331277,-0.001311675,0.9528317,-0.3972367,-0.07339129,0.9514539,-0.2065241,0.18585,0.9538026,-0.4289041
14:21:46.5275,-0.2247534,0.9670546,-0.1467667,0.1715323,-0.3240763,0.9432681,-0.1745203,0.1715324,-0.3510069,0.9341474,-0.1555332,0.2916029,-0.3030197,1.011614,-0.06353295,-0.00121814,0.9517539,-0.3986232,-0.07341582,0.9514289,-0.2065097,0.1869216,0.9522259,-0.4310814
14:21:46.5286,-0.2249441,0.9671745,-0.1469642,0.1715323,-0.3242669,0.943388,-0.1747177,0.1715324,-0.3511976,0.9342675,-0.155731,0.2916029,-0.3032104,1.011734,-0.0637306,-0.001043022,0.9516985,-0.3991302,-0.07342708,0.9514091,-0.2065527,0.1870191,0.9520557,-0.4329345
14:21:46.5536,-0.2265377,0.9652507,-0.1462545,0.1956818,-0.3267922,0.9433041,-0.174983,0.1956818,-0.3541678,0.9345875,-0.1559612,0.3323497,-0.3039248,1.011884,-0.06336963,-0.0009983033,0.9516122,-0.3990684,-0.07343002,0.9514003,-0.2065792,0.1867577,0.9521337,-0.434653
14:21:46.5556,-0.2307903,0.9633319,-0.1476443,0.1956818,-0.3310446,0.9413855,-0.1763726,0.1956818,-0.3584204,0.9326689,-0.1573508,0.3323497,-0.3081774,1.009966,-0.06475937,-0.001087472,0.9514549,-0.3988324,-0.07342938,0.9513984,-0.206585,0.1864479,0.9524274,-0.4358281
14:21:46.5571,-0.2336067,0.9575653,-0.1484801,0.1956818,-0.3338611,0.9356184,-0.1772085,0.1956818,-0.3612367,0.9269023,-0.1581867,0.3323497,-0.3109939,1.004199,-0.06559515,-0.001188725,0.9514132,-0.3987145,-0.07342798,0.9513988,-0.2065827,0.1860725,0.9528079,-0.436498
14:21:46.5809,-0.2416892,0.9427247,-0.1542981,0.1262593,-0.3325872,0.9225645,-0.1774724,0.2464042,-0.3569002,0.9154949,-0.1547617,0.1644815,-0.3107105,1.00331,-0.0666126,-0.001220301,0.9514096,-0.3986968,-0.07342704,0.9513993,-0.2065805,0.1858131,0.9530787,-0.4369102
