Time,ThumbX,ThumbY,ThumbZ,ThumbForce,IndexX,IndexY,IndexZ,IndexForce,MiddleX,MiddleY,MiddleZ,MiddleForce,CenterX,CenterY,CenterZ,cube0X,cube0Y,cube0Z,cube1X,cube1Y,cube1Z,cube2X,cube2Y,cube2Z
11:35:17.6543,-0.1856938,0.943423,-0.1052077,0.08462997,-0.2728079,0.9301836,-0.1669099,0.1438706,-0.3057158,0.9269042,-0.149569,0.1438711,-0.2782838,1.00933,-0.05845857,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.6558,-0.1859922,0.9467795,-0.100594,0.08462997,-0.2731065,0.9335401,-0.1622964,0.1438706,-0.3060144,0.9302607,-0.1449555,0.1438711,-0.2785823,1.012687,-0.05384493,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.6800,-0.1942031,0.9277308,-0.09882998,0.06480339,-0.2772514,0.9093671,-0.1474897,0.1332285,-0.3068877,0.9103823,-0.1243389,0.1889859,-0.2788098,1.009786,-0.04978108,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.6835,-0.194988,0.9373651,-0.1014923,0.06480339,-0.2780363,0.9190013,-0.150152,0.1332285,-0.3076726,0.9200163,-0.1270014,0.1889859,-0.2795948,1.01942,-0.05244327,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.6857,-0.1956734,0.939292,-0.1038175,0.06480339,-0.2787217,0.9209282,-0.1524771,0.1332285,-0.3083581,0.9219434,-0.1293262,0.1889859,-0.2802803,1.021347,-0.05476832,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7072,-0.2011037,0.9343309,-0.1005194,0.1108929,-0.286538,0.9144583,-0.1476882,0.2384015,-0.3154732,0.9166732,-0.1215065,0.1686769,-0.2826172,1.020232,-0.05280507,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7087,-0.2013835,0.9399767,-0.1020316,0.1108929,-0.2868179,0.9201045,-0.1492004,0.2384015,-0.3157532,0.9223187,-0.1230185,0.1686769,-0.2828969,1.025878,-0.05431736,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7113,-0.2016312,0.9411058,-0.1033692,0.1108929,-0.2870656,0.9212334,-0.150538,0.2384015,-0.3160008,0.9234481,-0.1243562,0.1686769,-0.2831446,1.027007,-0.055655,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7341,-0.1946867,0.9546623,-0.09898722,0.2895158,-0.2866423,0.9314508,-0.1520089,0.4887778,-0.3188219,0.9304626,-0.1328878,0.2915863,-0.284058,1.02679,-0.05521357,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7351,-0.1949056,0.9575479,-0.0997802,0.2895158,-0.2868612,0.9343367,-0.152802,0.4887778,-0.319041,0.9333482,-0.1336808,0.2915863,-0.284277,1.029675,-0.05600667,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7609,-0.191883,0.9593396,-0.09966063,0.3618548,-0.2825426,0.9349868,-0.1574585,0.6105151,-0.3155388,0.9324756,-0.1372316,0.3640575,-0.2832802,1.029569,-0.0569911,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7621,-0.191981,0.9590006,-0.09986806,0.3618548,-0.2826406,0.9346478,-0.157666,0.6105151,-0.3156368,0.9321365,-0.1374391,0.3640575,-0.2833781,1.02923,-0.05719888,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7738,-0.1904635,0.9594917,-0.09952581,0.4110219,-0.280697,0.9338953,-0.1575066,0.691195,-0.3141426,0.9310989,-0.1400151,0.4130883,-0.2828274,1.028672,-0.05724263,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7749,-0.1904739,0.9600286,-0.09954107,0.4110219,-0.2807075,0.9344323,-0.1575217,0.691195,-0.3141531,0.9316359,-0.1400301,0.4130883,-0.2828378,1.029209,-0.05725777,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.7769,-0.1904843,0.9601359,-0.09955621,0.4110219,-0.2807179,0.9345396,-0.1575367,0.691195,-0.3141634,0.9317429,-0.1400453,0.4130883,-0.2828483,1.029316,-0.05727291,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
11:35:17.8007,-0.1922283,0.9623365,-0.1044028,0.4242531,-0.2822396,0.9428427,-0.1679991,0.6987693,-0.3163824,0.9387126,-0.1486491,0.4232017,-0.2834806,1.031309,-0.05946028,0.1373568,0.9515765,-0.3020387,0.3996938,0.9515996,-0.2271758,-0.2120719,0.9544997,-0.2342528
